COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;Especialidad;FECHA DE INSCRIPCION
ur000158;101;Restaurantes;Sin definir;Guipuzcoa 27;BERRIOZAR;BERRIOZAR                                                                                           ;Cuenca de Pamplona;Casera o regional;04/05/1973 0:00:00
UR000924;A Queimada;Restaurantes;Segunda/2 Tenedores;La Barrena, parcela 13 3;TUDELA;TUDELA                                                                                              ;La Ribera;Casera o regional;05/06/2007 0:00:00
UR001069;Acedo;Restaurantes;Segunda/2 Tenedores;Los Arcos 0;ACEDO;MENDAZA                                                                                             ;Zona Media;Casera o regional;02/12/2014 0:00:00
ur000129;Adoquín de la Estafeta;Restaurantes;Sin definir;Calle de la Estafeta 81;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;13/05/1971 0:00:00
UR000389;Aguirre;Restaurantes;Sin definir;Irún, Km. 7 5;ORICÁIN;EZCABARTE                                                                                           ;Cuenca de Pamplona;Casera o regional;31/07/1984 0:00:00
UR111010;Aitona;Restaurantes;Sin definir;Calle San Lorenzo 2;GERENDIAIN;ULTZAMA                                                                                             ;Pirineos;Casera o regional;15/07/2011 0:00:00
UR000795;Aixeleku Jatetxea;Restaurantes;Sin definir;Portuko Kalea 7;OLAZTI/OLAZAGUTIA;OLAZTI/OLAZAGUTÍA                                                                                   ;Pirineos;Casera o regional;24/12/1997 0:00:00
ur000627;Aizberri;Restaurantes;Sin definir;Pol. Berriainz, nave 65 0;BERRIOZAR;BERRIOZAR                                                                                           ;Cuenca de Pamplona;Casera o regional;12/08/1990 0:00:00
UR000763;Akelarre;Restaurantes;Sin definir;Tomás Zumalacarregui 7;ALTSASU/ALSASUA;ALTSASU/ALSASUA                                                                                     ;Pirineos;Casera o regional;18/09/1996 0:00:00
ur000844;Alai-Taberna;Restaurantes;Sin definir;Mayor 0 S/N;EULATE;EULATE                                                                                              ;Pirineos;Casera o regional;19/04/2000 0:00:00
UR001098;Alhama;Restaurantes;Primera/3 tenedores;N-113, Pamplona-Madrid 0;CINTRUÉNIGO;CINTRUÉNIGO                                                                                         ;La Ribera;Casera o regional, Innovadora;28/07/2015 0:00:00
UR000011;Alhambra;Restaurantes;Lujo/ 4 Tenedores;Bergamín 7;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;16/06/1975 0:00:00
UR000005;Alsafir;Restaurantes;Segunda/2 Tenedores;Castillo de Maya 39;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;26/04/1969 0:00:00
UR000796;Altxunea Erretegia;Restaurantes;Segunda/2 Tenedores;Consejo 27;ITUREN;ITUREN                                                                                              ;Pirineos;Asador;24/12/1997 0:00:00
UR000442;Altzatenea;Restaurantes;Tercera/1 tenedor;Casa Altzatenea 0;ZUGARRAMURDI;ZUGARRAMURDI                                                                                        ;Pirineos;Asador, Casera o regional;02/03/1986 0:00:00
uc000060;Amabella;Cafeterías;Segunda/1 Taza;Vuelta del Castillo 3;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;06/12/1983 0:00:00
ur000258;Amaral;Restaurantes;Sin definir;Pisos de Recalde 4;ORORBIA;OLZA                                                                                                ;Cuenca de Pamplona;;26/04/1982 0:00:00
UR001051;Amatxi;Restaurantes;Segunda/2 Tenedores;Pamplona s/n 0;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;Casera o regional;02/05/2014 0:00:00
UR000092;Ameztia;Restaurantes;Segunda/2 Tenedores;Ameztia 9;DONEZTEBE/SANTESTEBAN;DONEZTEBE/SANTESTEBAN                                                                               ;Pirineos;Asador;15/03/1982 0:00:00
UR000013;Amóstegui;Restaurantes;Sin definir;Pozoblanco, 20-1º 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;20/07/1967 0:00:00
ur000356;Anaiak;Restaurantes;Sin definir;San Juan 4;UHARTE-ARAKIL;UHARTE-ARAKIL                                                                                       ;Pirineos;Casera o regional;25/10/1983 0:00:00
ur000841;Anaitasuna;Restaurantes;Sin definir;Ciudadela 13;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;01/09/2005 0:00:00
UR000091;Andamur;Restaurantes;Tercera/1 tenedor;de Europa 1;IMÁRCOAIN;NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ;Cuenca de Pamplona;;16/01/2002 0:00:00
uc000154;Andrea;Cafeterías;Segunda/1 Taza;Marcelo Celayeta 105;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;23/12/1998 0:00:00
uc000103;Anduriña;Cafeterías;Segunda/1 Taza;Zaragoza 65;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;11/03/1990 0:00:00
UR000886;Ángel;Restaurantes;Tercera/1 tenedor;de los Fueros 7;BARÁSOAIN;BARÁSOAIN                                                                                           ;Zona Media;Casera o regional;08/02/2006 0:00:00
UR000907;Animals;Restaurantes;Sin definir;Pío Loperena 14;BURLADA;BURLADA <> BURLATA                                                                                  ;Cuenca de Pamplona;Innovadora;20/09/2006 0:00:00
UR001101;Ansoleaga;Restaurantes;Lujo/ 4 Tenedores;Calle Florencio de Ansoleaga  33;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional, Innovadora;07/08/2015 0:00:00
ur000143;Antigua Taberna Tabla Tomasa;Restaurantes;Sin definir;Mº de Iranzu 6;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;15/06/2004 0:00:00
ur000200;Antonio;Restaurantes;Sin definir;Carcar 0 S/N;LODOSA;LODOSA                                                                                              ;La Ribera;Casera o regional;22/07/1981 0:00:00
ur000365;Aragón;Restaurantes;Sin definir;Buenaventura Iñiguez 2;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;19/03/1984 0:00:00
UR000094;Arakindegia;Restaurantes;Segunda/2 Tenedores;Elbarren 64;LEITZA;LEITZA                                                                                              ;Pirineos;Casera o regional;11/10/1968 0:00:00
ur000207;Aralar;Restaurantes;Sin definir;Castillo de Maya 25;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;14/10/1981 0:00:00
UR001122;Arantza;Restaurantes;Lujo/ 4 Tenedores;Aientsa Auzoa 10;ARANTZA;ARANTZA                                                                                             ;Pirineos;Asador, De autor, Vegetariana;23/12/2016 0:00:00
uc000085;Arcos;Cafeterías;Segunda/1 Taza;Calle Pedro Malón de Chaide 7;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;20/04/1988 0:00:00
UC000184;Área de Servicio Alsasua Dirección Irún;Cafeterías;Segunda/1 Taza;Autovía A1 401;ALTSASU/ALSASUA;ALTSASU/ALSASUA                                                                                     ;Pirineos;;22/07/2016 0:00:00
UR000659;Área de Servicio de Tudela;Restaurantes;Tercera/1 tenedor;Autopista A-68, km. 222 8;FONTELLAS;FONTELLAS                                                                                           ;La Ribera;Casera o regional;09/02/1992 0:00:00
uc000138;Area De Servicio De Valtierra (margen N.);Cafeterías;Segunda/1 Taza;Autopista A-15,Tudela-Irurzun 0;VALTIERRA;VALTIERRA                                                                                           ;La Ribera;;19/12/1978 0:00:00
uc000048;Area De Servicio Imarcoain Sur;Cafeterías;Segunda/1 Taza;Autopista AP 15 km 76,5  0 sentido zaragoz;IMÁRCOAIN;NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ;Cuenca de Pamplona;;21/11/1976 0:00:00
ur000702;Area de Servicios Zuasti;Restaurantes;Sin definir;Autopista Tudela-Irurzun K.102 0;ZUASTI;IZA                                                                                                 ;Cuenca de Pamplona;Casera o regional;21/03/1994 0:00:00
ur000596;Argia;Restaurantes;Sin definir;Real 39;NOÁIN;NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ;Cuenca de Pamplona;Casera o regional;20/02/1991 0:00:00
UR000956;Argileku;Restaurantes;Segunda/2 Tenedores;Olite 5 bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador, Casera o regional;10/09/2008 0:00:00
UR000353;Aritz-Alde;Restaurantes;Tercera/1 tenedor;Nagusia 31;ETXARRI-ARANATZ;ETXARRI-ARANATZ                                                                                     ;Pirineos;Casera o regional;21/10/1983 0:00:00
ur000704;Aritzalko;Restaurantes;Sin definir;Pamplona-Vitoria, km.42 0;ETXARRI-ARANATZ;ETXARRI-ARANATZ                                                                                     ;Pirineos;Casera o regional;15/04/1994 0:00:00
ur000597;Armendi;Restaurantes;Sin definir;Santa Eulalia 0;BELZUNCE;JUSLAPEÑA                                                                                           ;Cuenca de Pamplona;Asador;14/02/1990 0:00:00
ur000466;Arocena;Restaurantes;Sin definir;Eguzki-Eder 0;DONEZTEBE/SANTESTEBAN;DONEZTEBE/SANTESTEBAN                                                                               ;Pirineos;Casera o regional;05/01/1989 0:00:00
UR000117;Arotxa;Restaurantes;Segunda/2 Tenedores;Santa Catalina 34;LEGASA;BERTIZARANA                                                                                         ;Pirineos;Asador;01/09/2003 0:00:00
UR001100;Artea;Restaurantes;Tercera/1 tenedor;Av. Marcelo Celayeta, 35;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;04/08/2015 0:00:00
UR000917;Artwohl;Restaurantes;Segunda/2 Tenedores;Teobaldos 2 bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;12/02/2007 0:00:00
ur000379;Asador Almadía;Restaurantes;Sin definir;Abejeras 51;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;15/04/2005 0:00:00
UR000067;Asador Aritza;Restaurantes;Sin definir;Kanaleburua 6;AURITZ/BURGUETE;AURITZ/BURGUETE                                                                                     ;Pirineos;Casera o regional;27/06/2001 0:00:00
ur000377;Asador Aterpe;Restaurantes;Sin definir;Larreta 5;ARANTZA;ARANTZA                                                                                             ;Pirineos;Casera o regional;19/03/1984 0:00:00
UR000422;Asador Basomutur;Restaurantes;Tercera/1 tenedor;Pedroko Bidea 0 S/N;ALTSASU/ALSASUA;ALTSASU/ALSASUA                                                                                     ;Pirineos;Asador;11/08/1985 0:00:00
ur000046;Asador Bodegas Lezaun;Restaurantes;Sin definir;Lacar 0;LÁCAR;YERRI                                                                                               ;Zona Media;Asador;28/03/2001 0:00:00
UR000766;Asador Borda;Restaurantes;Sin definir;Arluzape 11;ETXARRI-ARANATZ;ETXARRI-ARANATZ                                                                                     ;Pirineos;De autor;18/09/1996 0:00:00
UR000829;Asador Brasas;Restaurantes;Segunda/2 Tenedores;Sangüesa, 15-17 0;TAFALLA;TAFALLA                                                                                             ;Zona Media;Asador;12/01/1999 0:00:00
ur000044;Asador Casa Antonio;Restaurantes;Sin definir;Príncipe de Viana 4;MILAGRO;MILAGRO                                                                                             ;La Ribera;Asador;07/03/2001 0:00:00
ur000834;Asador Casa Arteta;Restaurantes;Sin definir;San Miguel 0 S/N;MARCALÁIN;JUSLAPEÑA                                                                                           ;Cuenca de Pamplona;Casera o regional;30/08/2000 0:00:00
UR000682;Asador Casa Tomás;Restaurantes;Segunda/2 Tenedores;Trece de Septiembre 1;SAN MARTÍN DE UNX;SAN MARTÍN DE UNX                                                                                   ;Zona Media;Asador, Casera o regional;15/01/1994 0:00:00
UR000737;Asador Castillo de Mendillorri;Restaurantes;Tercera/1 tenedor;de Sarriguren 14;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;28/12/1995 0:00:00
UR000911;Asador Don Diego de Larrea;Restaurantes;Sin definir;Jesús Elorz 1;FALCES;FALCES                                                                                              ;La Ribera;Casera o regional;22/01/2007 0:00:00
UR000813;Asador Epeleta;Restaurantes;Segunda/2 Tenedores;Aralar 0 S/N;LEKUNBERRI;LEKUNBERRI                                                                                          ;Pirineos;Asador;25/02/1998 0:00:00
UR000300;Asador Erreleku;Restaurantes;Segunda/2 Tenedores;San Cosme y San Damián 1;CORDOVILLA;GALAR                                                                                               ;Cuenca de Pamplona;Asador, Asador, Casera o regional, De tapas y raciones;08/06/1981 0:00:00
UR000263;Asador Erretegia;Restaurantes;Asador;Calle de la Estafeta 53;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;22/07/1981 0:00:00
ur000008;Asador Erri-Berri;Restaurantes;Sin definir;Rúa del Fondo 1;OLITE;OLITE                                                                                               ;Zona Media;;30/11/2000 0:00:00
ur000007;Asador Ezkurra;Restaurantes;Sin definir;Carretera Aoiz 0 S/N;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;;30/11/2000 0:00:00
ur000822;Asador Gastón;Restaurantes;Asador;Calle Raimundo Lanas 19;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;01/03/1999 0:00:00
UR000290;Asador Gaztelu;Restaurantes;Asador;Paseo Federico Soto 3;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;08/02/2005 0:00:00
UR000457;Asador Iparralde;Restaurantes;Segunda/2 Tenedores;Carrobide 5;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;Casera o regional;20/04/1988 0:00:00
ur000699;Asador Ipartxo;Restaurantes;Asador;Sangüesa, 40-42 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;15/04/1994 0:00:00
UR000146;Asador Irache;Restaurantes;Segunda/2 Tenedores;Mº de Irache, 23-25 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;16/02/1972 0:00:00
ur000490;Asador Iturrama;Restaurantes;Asador;Calle Pedro I 9;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;20/04/1988 0:00:00
UR000296;Asador Itziar;Restaurantes;Tercera/1 tenedor;Asiain 0 S/N;ORORBIA;OLZA                                                                                                ;Cuenca de Pamplona;Asador;11/03/1982 0:00:00
ur000514;Asador Julián;Restaurantes;Sin definir;Ancin-San Adrián 0;CÁRCAR;CÁRCAR                                                                                              ;La Ribera;Casera o regional;20/01/1990 0:00:00
UR001121;Asador Katuzarra;Restaurantes;Segunda/2 Tenedores;Calle San Nicolás 34;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador, Casera o regional, De tapas y raciones;07/11/2016 0:00:00
ur000347;Asador La Basque;Restaurantes;Sin definir;Iñarreta 1;ETXALAR;ETXALAR                                                                                             ;Pirineos;Asador;23/12/1982 0:00:00
UR000839;Asador La Tasca;Restaurantes;Sin definir;Navarro Villoslada 1;ESTELLA-LIZARRA;ESTELLA <> LIZARRA                                                                                  ;Zona Media;Asador;29/03/2000 0:00:00
UR000458;Asador Larra;Restaurantes;Sin definir;San José 1;CORELLA;CORELLA                                                                                             ;La Ribera;Asador;01/02/1989 0:00:00
UR000669;Asador Lizarraga;Restaurantes;Sin definir;del Ferial 38;URROZ-VILLA;URROZ                                                                                               ;Pirineos;Casera o regional;20/12/1992 0:00:00
UR000317;Asador Los Nandos;Restaurantes;Segunda/2 Tenedores;de Navarra 70;LODOSA;LODOSA                                                                                              ;La Ribera;Asador;16/06/1982 0:00:00
UR000265;Asador Maya;Restaurantes;Primera/3 tenedores;Salinas 20 S/N;ESQUÍROZ;GALAR                                                                                               ;Cuenca de Pamplona;Asador;26/04/1982 0:00:00
UR000360;Asador Mediavilla;Restaurantes;Tercera/1 tenedor;Alfonso el Batallador 15;SANGÜESA;SANGÜESA <> ZANGOZA                                                                                 ;Zona Media;Asador, Asador, Casera o regional;19/03/1984 0:00:00
ur000810;Asador Menchu;Restaurantes;Asador;Calle de Acella 7;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;03/11/1997 0:00:00
ur000783;Asador Mutiloa;Restaurantes;Sin definir;Polígono Mutilva Baja, C/ 0 42;MUTILVA;ARANGUREN                                                                                           ;Cuenca de Pamplona;Casera o regional;02/05/1996 0:00:00
ur000157;Asador Olave;Restaurantes;Asador;Garde 14;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;25/06/2004 0:00:00
ur000150;Asador Olaverri;Restaurantes;Asador;Santa Marta 4;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;12/06/1981 0:00:00
UR000851;Asador Pizzeria Casa del Preboste;Restaurantes;Primera/3 tenedores;Rúa Mirapies 8;OLITE;OLITE                                                                                               ;Zona Media;Casera o regional;15/11/1999 0:00:00
UR000373;Asador Sidrería Saralegui;Restaurantes;Sin definir;Ayuntamiento 1;BARAÑÁIN;BARAÑÁIN                                                                                            ;Cuenca de Pamplona;Sidrería;21/10/1983 0:00:00
ur000528;Asador Sidreria Zaldiko;Restaurantes;Asador;Santo Domingo 39;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Sidrería;26/01/1989 0:00:00
UR000097;Asador Sidrería Zubiondo;Restaurantes;Segunda/2 Tenedores;Alasta, 2 A (Poligono Alkaiaga 0;LESAKA;LESAKA                                                                                              ;Pirineos;Asador, Sidrería;20/02/2002 0:00:00
UR000245;Asador Tres Tinas;Restaurantes;Segunda/2 Tenedores;Serapio Urra 2;VIANA;VIANA                                                                                               ;Pirineos;;23/12/2004 0:00:00
ur000880;Asador Uslaer;Restaurantes;Asador;Tomás Burgui 15;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Asador;22/11/2000 0:00:00
UR000981;Asador Uxue;Restaurantes;Sin definir;San Isidro 0 s/n;UJUÉ;UJUÉ                                                                                                ;Zona Media;Casera o regional;09/09/2009 0:00:00
UR000382;Asador Zubiondo;Restaurantes;Primera/3 tenedores;Avda  Roncesvalles 1;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;Asador;17/04/1984 0:00:00
ur000530;Asador Zulueta;Restaurantes;Sin definir;General, Km. 11 0;ZULUETA;NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ;Cuenca de Pamplona;Asador;21/08/1989 0:00:00
ur000244;Askartza;Restaurantes;Sin definir;Calle San Lorenzo 39;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;20/07/1981 0:00:00
UR000843;Astarriaga;Restaurantes;Primera/3 tenedores;de los Fueros 12;ESTELLA-LIZARRA;ESTELLA <> LIZARRA                                                                                  ;Zona Media;Asador;30/03/2000 0:00:00
UR001067;Astitz;Restaurantes;Tercera/1 tenedor;San Pedro 0;ASTITZ;LARRAUN                                                                                             ;Pirineos;Casera o regional;07/11/2014 0:00:00
ur000419;Atalaya;Restaurantes;Sin definir;Dabán 11;PERALTA;PERALTA                                                                                             ;La Ribera;Casera o regional;01/08/1985 0:00:00
uc000132;Atalaya;Cafeterías;Segunda/1 Taza;Tafalla-Rincón Soto 0;PERALTA;PERALTA                                                                                             ;La Ribera;;02/03/1995 0:00:00
UR001068;Auñamendi;Restaurantes;Segunda/2 Tenedores;Urrutia 23;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;Casera o regional;12/11/2014 0:00:00
UR000632;Auzoa;Restaurantes;Tercera/1 tenedor;Illecueta 13;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;12/07/1990 0:00:00
UR000198;Avanti;Restaurantes;Sin definir;Corella Poligono Industrial 0;TUDELA;TUDELA                                                                                              ;La Ribera;;03/09/2004 0:00:00
ur000561;Avenida;Restaurantes;Sin definir;Héroes del Alcázar de Toledo 10;FUNES;FUNES                                                                                               ;La Ribera;Casera o regional;21/01/1990 0:00:00
UR000758;Avenida;Restaurantes;Sin definir;San José 22;CORELLA;CORELLA                                                                                             ;La Ribera;Casera o regional;18/09/1996 0:00:00
UR001059;Ayestarán I;Restaurantes;Segunda/2 Tenedores;Aralar 22;LEKUNBERRI;LEKUNBERRI                                                                                          ;Pirineos;Casera o regional;12/08/2014 0:00:00
UR141060;Ayestarán II;Restaurantes;Segunda/2 Tenedores;Ayestarán II 27;LEKUNBERRI;LEKUNBERRI                                                                                          ;Pirineos;Casera o regional;12/08/2014 0:00:00
UR000800;Azketa;Restaurantes;Segunda/2 Tenedores;Francia 0 S/N;ZUGARRAMURDI;ZUGARRAMURDI                                                                                        ;Pirineos;Casera o regional;24/12/1997 0:00:00
UR000014;Badar;Restaurantes;Sin definir;Marcelo Celayeta 127;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;30/11/2000 0:00:00
uc000001;Bahia;Cafeterías;Segunda/1 Taza;Calle Trinidad Fernández Arenas 4;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;31/12/1965 0:00:00
uc000091;Baja Navarra;Cafeterías;Segunda/1 Taza;Baja Navarra 22;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;25/05/1988 0:00:00
UR001070;Balneario de Elgorriaga;Restaurantes;Segunda/2 Tenedores;Errotaldea s/n 0;ELGORRIAGA;ELGORRIAGA                                                                                          ;Pirineos;Casera o regional;02/12/2014 0:00:00
ur000230;Baluarte;Restaurantes;Sin definir;Ejército 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;30/11/2004 0:00:00
UR001013;Bambú Chino;Restaurantes;Segunda/2 Tenedores;Guipúzkoa 58;BERRIOZAR;BERRIOZAR                                                                                           ;Cuenca de Pamplona;Internacional;20/09/2011 0:00:00
ur000438;Baraibar;Restaurantes;Sin definir;San Miguel 0;BARAIBAR;LARRAUN                                                                                             ;Pirineos;Casera o regional;28/11/1985 0:00:00
UC000180;Baratza Kafea;Cafeterías;Segunda/1 Taza;Bernardino Tirapu 5 Bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Otros;02/02/2015 0:00:00
UR001118;Baratze;Restaurantes;Segunda/2 Tenedores;Pamplona-Valcarlos 0 Km. 42;AURIZBERRI/ESPINAL;ERRO                                                                                                ;Pirineos;Casera o regional;22/07/2016 0:00:00
UR111004;Bardenas;Restaurantes;Sin definir;Real 96;ARGUEDAS;ARGUEDAS                                                                                            ;La Ribera;Casera o regional;04/05/2011 0:00:00
UR000503;Bargota;Restaurantes;Sin definir;Virgen de la Cabeza, 21-23 0;TUDELA;TUDELA                                                                                              ;La Ribera;Casera o regional;17/05/1989 0:00:00
UR000577;Barranka;Restaurantes;Tercera/1 tenedor;Carretera 5;EZKURRA;EZKURRA                                                                                             ;Pirineos;Casera o regional;11/06/1990 0:00:00
UR000519;Basaburua;Restaurantes;Segunda/2 Tenedores;Calle Florencio de Ansoleaga 16;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;26/02/1988 0:00:00
UR000016;Baserri;Restaurantes;Sin definir;Calle San Nicolás 32;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;27/06/1968 0:00:00
uc000157;Bavaros;Cafeterías;Segunda/1 Taza;Azuelo, 1 trasera 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;06/03/2000 0:00:00
UR000676;Baztan;Restaurantes;Tercera/1 tenedor;Calle de Irunlarrea, 6;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;05/04/1995 0:00:00
ur000333;Beatriz;Restaurantes;Sin definir;Nacional 232, Km 98 0;FONTELLAS;FONTELLAS                                                                                           ;La Ribera;Casera o regional;30/04/1982 0:00:00
ur000058;Beethoven;Restaurantes;Sin definir;Zaragoza, Km. 98 0;FONTELLAS;FONTELLAS                                                                                           ;La Ribera;;11/02/1967 0:00:00
UR000776;Belarra;Restaurantes;Segunda/2 Tenedores;de Ameztia 3;DONEZTEBE/SANTESTEBAN;DONEZTEBE/SANTESTEBAN                                                                               ;Pirineos;Casera o regional;18/09/1996 0:00:00
UR000364;Belástegui;Restaurantes;Sin definir;Obispo Irurita 0 S/N;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;21/10/1983 0:00:00
ur000518;Bella Epoca;Restaurantes;Sin definir;Navarra 3 Bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;09/11/1988 0:00:00
UR121032;Benta Ardandegia;Restaurantes;Segunda/2 Tenedores;Elizaldea 15;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;Casera o regional;13/11/2012 0:00:00
ur000070;Benta Berri;Restaurantes;Sin definir;Ibardin-Edificio Benta Berri 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;;18/07/2001 0:00:00
ur000309;Benta Gora;Restaurantes;Sin definir;Ibardin 0 S/N;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;08/06/1981 0:00:00
UR000772;Benta Izelai;Restaurantes;Sin definir;Pamplona 17;ALTSASU/ALSASUA;ALTSASU/ALSASUA                                                                                     ;Pirineos;Casera o regional;18/09/1996 0:00:00
UR000894;Benta Miguel;Restaurantes;Tercera/1 tenedor;La Asunción (Ventas) 7;ARRAITZ-ORKIN;ULTZAMA                                                                                             ;Pirineos;Casera o regional;26/04/2006 0:00:00
UR000963;Benta Xabi;Restaurantes;Sin definir;Barrio Bentas 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;Casera o regional;09/12/2008 0:00:00
ur000663;Benta-Zahar;Restaurantes;Sin definir;Elzaurdia 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;08/05/1992 0:00:00
UR000601;Beola Etxea;Restaurantes;Tercera/1 tenedor;Ibardin 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;Casera o regional;17/04/1990 0:00:00
UR000141;Beola-Berri;Restaurantes;Primera/3 tenedores;Mayor 0 s/n;ALMANDOZ;BAZTAN                                                                                              ;Pirineos;;04/01/1985 0:00:00
UR001052;Beratxa;Restaurantes;Segunda/2 Tenedores;Escuelas Pías 11;TAFALLA;TAFALLA                                                                                             ;Zona Media;Asador, Casera o regional;22/04/2014 0:00:00
UR000529;Bereau;Restaurantes;Sin definir;Frain 32;LESAKA;LESAKA                                                                                              ;Pirineos;Casera o regional;07/03/1990 0:00:00
ur000658;Berekoetxea Jatetxea;Restaurantes;Sin definir;San Bartolomé 24;GORRITI;LARRAUN                                                                                             ;Pirineos;Casera o regional;27/03/1994 0:00:00
ur000779;Berrendi;Restaurantes;Sin definir;San Salvador 52;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;Casera o regional;05/12/1996 0:00:00
ur000746;Besaro;Restaurantes;Sin definir;Irigoyen 0 S/N;IZALZU;IZALZU <> ITZALTZU                                                                                  ;Pirineos;Casera o regional;28/12/1995 0:00:00
UR000343;Betelu;Restaurantes;Segunda/2 Tenedores;Mayor 0 S/N;BETELU;BETELU                                                                                              ;Pirineos;Casera o regional;05/05/1982 0:00:00
