COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;Especialidad;FECHA DE INSCRIPCION
UR000914;San Nicolás - Cocina Vasca;Restaurantes;Sin definir;Calle San Nicolás 13;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;12/02/2007 0:00:00
ur000392;San Pedro;Restaurantes;Sin definir;Los Arcos de Noain 0 S/N;NOÁIN;NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ;Cuenca de Pamplona;Casera o regional;10/10/1984 0:00:00
UR000465;Santxotena;Restaurantes;Segunda/2 Tenedores;Pedro Axular, s/n 0;ELIZONDO;BAZTAN                                                                                              ;Pirineos;Casera o regional;05/01/1989 0:00:00
UR000035;Sarasate;Restaurantes;Tercera/1 tenedor;Calle San Nicolás, 19-21, 1º Izda. 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Vegetariana;26/05/1965 0:00:00
UR000582;Sarasate;Restaurantes;Tercera/1 tenedor;San Sebastián, Km 15 0;SARASATE;IZA                                                                                                 ;Cuenca de Pamplona;Casera o regional;21/07/1989 0:00:00
ur000817;Sarrio;Restaurantes;Sin definir;Cañada Real 0 S/N;BERRIOPLANO;BERRIOPLANO                                                                                         ;Cuenca de Pamplona;Casera o regional;05/11/1998 0:00:00
ur000118;Sastinea;Restaurantes;Sin definir;Casa Sastinea 0;ARESO;ARESO                                                                                               ;Pirineos;;01/09/2003 0:00:00
ur000101;Señorío de Beraiz;Restaurantes;Sin definir;Pamplona-Irún, km.14 0;BERAIZ;OLAIBAR                                                                                             ;Cuenca de Pamplona;Asador;11/06/2003 0:00:00
uc000166;Shamrock;Cafeterías;Segunda/1 Taza;Félix Huarte 3;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;19/08/2004 0:00:00
UR000935;Sibaris;Restaurantes;Sin definir;Monte Monjardín 12;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Innovadora;26/12/2007 0:00:00
UR000786;Sidrería Aizoain;Restaurantes;Sin definir;Polígono Iruregaña 56;AIZOÁIN;BERRIOPLANO                                                                                         ;Cuenca de Pamplona;Sidrería;27/12/1996 0:00:00
UR100999;Sidrería Asador Kupela;Restaurantes;Segunda/2 Tenedores;Ribera 25;LODOSA;LODOSA                                                                                              ;La Ribera;Sidrería;31/12/2010 0:00:00
UR000084;Sidrería Auzmendi Sagardotegia;Restaurantes;Sin definir;Joaquin Beunza 17 bis;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Sidrería;05/09/2001 0:00:00
UR000218;Sidrería Castejón;Restaurantes;Segunda/2 Tenedores;N-113, km. 78 0;CASTEJÓN;CASTEJÓN                                                                                            ;La Ribera;Asador, Casera o regional, De tapas y raciones, Sidrería;05/08/2005 0:00:00
UR001055;Sidrería Chez Belagua;Restaurantes;Segunda/2 Tenedores;Calle de la Estafeta, 49/51;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Sidrería;06/05/2014 0:00:00
UR111009;Sidrería Etxesakan;Restaurantes;Sin definir;Mayor 38;GARÍSOAIN;GUESÁLAZ                                                                                            ;Zona Media;Sidrería;17/06/2011 0:00:00
ur000107;Sidrería Juanluzenea;Restaurantes;Sin definir;Calle San Lorenzo, 10, casa Juanluze 0;ODERITZ;LARRAUN                                                                                             ;Pirineos;;01/09/2003 0:00:00
UR000949;Sidrería Kupela;Restaurantes;Sin definir;Dantxarinea 0;URDAZUBI/URDAX;URDAZUBI/URDAX                                                                                      ;Pirineos;Sidrería;14/05/2008 0:00:00
UR000277;Sidrería Martintxo;Restaurantes;Segunda/2 Tenedores;Irunbidea 1;CIZUR MENOR;CIZUR                                                                                               ;Cuenca de Pamplona;;26/10/1981 0:00:00
ur000155;Sidrería Pil-Pil;Restaurantes;Segunda/2 Tenedores;Travesía de Acella 3;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Sidrería;18/06/2004 0:00:00
UR000984;Sidrería Ttakun;Restaurantes;Tercera/1 tenedor;Urrobi 7;AURIZBERRI/ESPINAL;ERRO                                                                                                ;Pirineos;Sidrería;23/12/2009 0:00:00
uc000065;Slalom;Cafeterías;Segunda/1 Taza;Pintor Crispín 2;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;07/11/1985 0:00:00
uc000140;Sorgintze;Cafeterías;Segunda/1 Taza;Travesía Juan María Guelbenzu, 35-37 ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;19/01/1996 0:00:00
uc000011;Stadium;Cafeterías;Segunda/1 Taza;San Fermín 69;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;;08/03/1996 0:00:00
UR000920;Stik-Bol;Restaurantes;Tercera/1 tenedor;Iturralde y Suit 9;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Casera o regional;09/05/2007 0:00:00
UR000959;Sur;Restaurantes;Sin definir;Marcelo Celayeta 128;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;Internacional;28/11/2008 0:00:00
UR000966;Susana;Restaurantes;Sin definir;Estella 26;LERÍN;LERÍN                                                                                               ;La Ribera;Casera o regional;26/12/2008 0:00:00
