Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,URLIdRecursoCategoria,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,DescripZona,Path,ImgFichero,Tipo,ESTILO,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"3170","Iglesia de Santa María","Iglesia de Santa María","Patrimonio","","","4332","05020100","VIANA","Zona Media","05\02\01\00\","3170FotoTH1.jpg","Iglesias y ermitas","Gótico, Renacentista","","551632","4707167","NO"
"4816","Iglesia de Santa María de Eguiarte","Iglesia de Santa María de Eguiarte","Patrimonio","","","4350","05020100","LÁCAR","Zona Media","05\02\01\00\","4816FotoTH1.jpg","Iglesias y ermitas","Barroco, Románico","","588870","4728106","NO"
"3118","Iglesia de Santa María de Eunate","Iglesia de Santa María de Eunate","Patrimonio","","","4289","05020100","MURUZÁBAL","Zona Media","05\02\01\00\","3118FotoTH1.JPG","Iglesias y ermitas","Románico","","601482","4725159","NO"
"3147","Iglesia de Santa María la Real","Iglesia de Santa María la Real","Patrimonio","","","4311","05020100","OLITE","Zona Media","05\02\01\00\","3147FOTOTH1.jpg","Iglesias y ermitas","Gótico","","610963","4704152","NO"
"3169","Iglesia de Santa María la Real","Iglesia de Santa María la Real","Patrimonio","","","4331","05020100","SANGÜESA","Zona Media","05\02\01\00\","3169FotoTH1.jpg","Iglesias y ermitas","Románico","","640719","4715282","NO"
"3026","Iglesia de Santa María Magdalena","Iglesia de Santa María Magdalena","Patrimonio","","","4269","05020100","TUDELA","La Ribera","05\02\01\00\","3026FotoTH1.jpg","Iglesias y ermitas","Románico","","615502","4657934","NO"
"3146","Iglesia de Santiago","Iglesia de Santiago","Patrimonio","","","4310","05020100","SANGÜESA","Zona Media","05\02\01\00\","3146FotoTH1.jpg","Iglesias y ermitas","Gótico, Románico","","640940","4715081","NO"
"3166","Iglesia de Santiago el Mayor","Iglesia de Santiago el Mayor","Patrimonio","","","4329","05020100","PUENTE LA REINA","Zona Media","05\02\01\00\","3166FotoTH1.JPG","Iglesias y ermitas","Románico","","597159","4725116","NO"
"3113","Iglesia del Crucifijo","Iglesia del Crucifijo","Patrimonio","","","4286","05020100","PUENTE LA REINA","Zona Media","05\02\01\00\","3113FotoTH1.JPG","Iglesias y ermitas","Gótico, Románico","","597451","4725201","NO"
"3158","Iglesia del Santo Sepulcro","Iglesia del Santo Sepulcro","Patrimonio","","","4321","05020100","ESTELLA-LIZARRA","Zona Media","05\02\01\00\","3158FotoTH1.jpg","Iglesias y ermitas","Gótico, Románico","","579878","4724594","NO"
