;COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;PLAZAS;FECHA DE INSCRIPCION
PAMPLONA;;;;;;;;;;
;UAT00732;Ayuntasquare;Apartamento Turístico;Tercera/1 Llave;Calceteros 2 5º B;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;10/01/2018 0:00:00
;UAT00458;Balcón del Encierro;Apartamento Turístico;Tercera/1 Llave;Santo Domingo 29 4º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;19/05/2016 0:00:00
;UHS00148;Bearán;Hostal;HsG;Calle San Nicolás 25;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;29;30/06/1951 0:00:00
;UAT00541;Bee Happy Erletokieta;Apartamento Turístico;Primera/3 Llaves;Escaleras Erletokieta 8;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;11/02/2017 0:00:00
;UAT00994;Bergamín, en pleno centro de Pamplona;Apartamento Turístico;Segunda/2 Llaves;Bergamín 8 1º izda;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;05/02/2020 0:00:00
;UAT00266;Berria;Apartamento Turístico;Segunda/2 Llaves;Calle Nueva 111;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;26/03/2013 0:00:00
;UH000606;Blanca de Navarra;Hotel;4 Estrellas;Av. de Pío XII 43;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;204;30/12/1989 0:00:00
;UAT00411;Blanco Rojo;Apartamento Turístico;Primera/3 Llaves;Calle Navas de Tolosa 11;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;02/07/2015 0:00:00
;UAT00649;Buen Camino;Apartamento Turístico;Segunda/2 Llaves;Calle Navarreria 27 1º Dcha;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;25/09/2017 0:00:00
;UAT00988;Calderería Apartment;Apartamento Turístico;Tercera/1 Llave;Calle Calderería 20;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;30/12/2019 0:00:00
;UAT00585;Calderería I;Apartamento Turístico;Segunda/2 Llaves;Calle Calderería  36;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;09/06/2017 0:00:00
;UAT00678;Capricho Nago;Apartamento Turístico;Tercera/1 Llave;Calle San Gregorio 17;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;20/11/2017 0:00:00
;UAT00669;Carmen;Apartamento Turístico;Segunda/2 Llaves;Del Carmen 25 2º C;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;31/10/2017 0:00:00
;UAT01042;Carpe Diem;Apartamento Turístico;Lujo/4 Llaves;Navarro Villoslada 18 Bajo;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;26/06/2020 0:00:00
;UAT00570;Casa Ana Mari I;Apartamento Turístico;Tercera/1 Llave;Calle Calderería 16 3º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;15/05/2017 0:00:00
;UAT00426;Casa de los Sanfermines;Apartamento Turístico;Tercera/1 Llave;Plaza Consistorial 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;21/12/2015 0:00:00
;UAT00574;Casa Iruña;Apartamento Turístico;Tercera/1 Llave;Calle Calderería 30;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;27/07/2017 0:00:00
;UAT00640;Casco Historico Pamplona;Apartamento Turístico;Tercera/1 Llave;Tejeria 40 3ºD;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;21/08/2017 0:00:00
;UH000789;Castillo de Javier;Hotel;1 Estrella;Calle San Nicolás, 50;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;22;07/12/2005 0:00:00
;UAT00537;Center Pamplona Apartment;Apartamento Turístico;Primera/3 Llaves;Mañueta 7 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;17/02/2017 0:00:00
;UAT00608;Centro;Apartamento Turístico;Segunda/2 Llaves;Calle San Gregorio 18;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;19/09/2017 0:00:00
;UAT01013;Centro Histórico;Apartamento Turístico;Tercera/1 Llave;Joaquín Jarauta 79 1º izda;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;23/03/2020 0:00:00
;UAT00688;Cerca del Centro;Apartamento Turístico;Tercera/1 Llave;Av. Marcelo Celayeta 49;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;29/12/2017 0:00:00
;UAT00476;Charming Heritage Home;Apartamento Turístico;Tercera/1 Llave;Calle Zapatería 58;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;6;05/07/2016 0:00:00
;UAT00622;City Center Apartment;Apartamento Turístico;Segunda/2 Llaves;Calle Leyre 20;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;1;18/08/2017 0:00:00
;UAT00733;Consistorio House 2;Apartamento Turístico;Segunda/2 Llaves;Calceteros 2 5º A;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;12/01/2018 0:00:00
;UAT00750;Dormitaleria 22;Apartamento Turístico;Tercera/1 Llave;Dormitaleria 22 5º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;24/01/2018 0:00:00
;UAT00371;Downtown I;Apartamento Turístico;Segunda/2 Llaves;Calle San Nicolás 4 ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;6;13/01/2015 0:00:00
;UPE00885;El Camino Urban Rooms;Pensión;P*;Calle San Gregorio 12;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;20;12/06/2012 0:00:00
;UAT00654;El Desván de San Antón;Apartamento Turístico;Primera/3 Llaves;Calle de San Antón 28 5º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;25/01/2017 0:00:00
;UAT01019;El Mirador de la Cuesta de Santo Domingo;Apartamento Turístico;Primera/3 Llaves;Cuesta Santo Domingo 35 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;16/03/2020 0:00:00
;UAT00621;El Mirador de la Estafeta;Apartamento Turístico;Tercera/1 Llave;Calle de la Estafeta 5;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;17/08/2017 0:00:00
;UAT01021;El Oasis de la Estafeta;Apartamento Turístico;Primera/3 Llaves;Calle de la Estafeta 63;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;21/05/2020 0:00:00
;UPE00637;El Paseo;Pensión;P**;Paseo de Pablo Sarasate Pasalekua 30;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;11;01/01/1993 0:00:00
;UAT01102;El Rincón de los sueños;Apartamento Turístico;Segunda/2 Llaves;San Antón 73 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;26/10/2020 0:00:00
;UAT00719;En el centro de  Mercaderes II;Apartamento Turístico;Segunda/2 Llaves;Mercaderes 8 4º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;23/01/2018 0:00:00
;UAT00661;En el centro de Mercaderes;Apartamento Turístico;Segunda/2 Llaves;Mercaderes 8 3º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;25/10/2017 0:00:00
;UAT00603;Englantina;Apartamento Turístico;Segunda/2 Llaves;Compañia 2 1º IZ;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;22/06/2017 0:00:00
;UPE00521;Eslava;Pensión;P*;Calle Eslava 13 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;17;09/02/1971 0:00:00
;UAT00346;Estafeta;Apartamento Turístico;Tercera/1 Llave;Calle de la Estafeta 22;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;28/05/2015 0:00:00
;UAT00726;Estafeta 12;Apartamento Turístico;Primera/3 Llaves;Calle de la Estafeta 12;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;16/01/2018 0:00:00
;UAT00598;Estafeta 37;Apartamento Turístico;Segunda/2 Llaves;Calle de la Estafeta 37;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;20/11/2017 0:00:00
;UAT00535;Estafeta 39;Apartamento Turístico;Primera/3 Llaves;Calle de la Estafeta 39;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;11/02/2017 0:00:00
