;COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;PLAZAS;FECHA DE INSCRIPCION
PAMPLONA;;;;;;;;;;
;ucr00431;Graciano I;Casa rural vivienda;CRV 2 Estrellas;Urrutia 12;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;2;21/12/1998 0:00:00
;ucr00432;Graciano II;Casa rural vivienda;CRV 2 Estrellas;Urrutia 12;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;2;21/12/1998 0:00:00
;ucr00439;Idiart I;Casa rural habitaciones;CRH 2 Estrellas;Irigoyen 22;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;4;12/05/1999 0:00:00
;ucr00440;Idiart II;Casa rural vivienda;CRV 1 Estrella;Irigoyen 22;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;3;12/05/1999 0:00:00
;UCR00901;Ikuilu I;Casa rural vivienda;CRV 2 Estrellas;Irigoien 22;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;4;24/07/2009 0:00:00
;UCR00902;Ikuilu II;Casa rural vivienda;CRV 2 Estrellas;Irigoien 22;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;2;24/07/2009 0:00:00
;UCR01016;Inaxoetxea;Casa rural vivienda;CRV 1 Estrella;Irigoyen 25;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;4;12/08/2013 0:00:00
;UHS00933;Iratibizkar;Hostal;HsG;Ibaialde 1;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;15;06/06/2018 0:00:00
;UCR00905;Izeba;Casa rural vivienda;CRV 3 Estrellas;Irigoyen 9;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;6;09/09/2009 0:00:00
;UCR00990;Maestroxar;Casa rural vivienda;CRV 2 Estrellas;Labaria 44 bis;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;6;26/04/2012 0:00:00
;UCR00460;Mantxoalorra;Casa rural vivienda;CRV 2 Estrellas;Mantxoalorra 1;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;6;14/10/1999 0:00:00
;ucr00288;Mantxoto;Casa rural habitaciones;CRH 1 Estrella;Iribarren 29;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;5;05/07/1995 0:00:00
;UCR00146;Martinezker I;Casa rural vivienda;CRV 3 Estrellas;Irigoyen 5;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;8;18/12/1991 0:00:00
;UCR00384;Martinezker II;Casa rural habitaciones;CRH 3 Estrellas;Irigoyen 5;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;8;14/08/1997 0:00:00
;ucr00726;Mendibide;Casa rural vivienda;CRV 3 Estrellas;Urrutia 23;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;8;10/11/2005 0:00:00
;UHSR0280;Orialde;Hostal;HsRural;Urrutia 6;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;19;10/10/1962 0:00:00
;uct00012;Osate;Camping;3 estrellas;Salazar 0;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;284;28/08/1991 0:00:00
;ucr00363;Pierra;Casa rural vivienda;CRV 2 Estrellas;Labaria 50;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;9;05/02/1997 0:00:00
;UAT00113;Pistolo I y II;Apartamento Turístico;Segunda/2 Llaves;Iribarren 2;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;4;28/08/2008 0:00:00
;ucr00206;Sarbide I;Casa rural vivienda;CRV 1 Estrella;Labaria 0;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;4;26/11/1993 0:00:00
;UCR01078;Txalastaso;Casa rural vivienda;CRV 4 Estrellas;Irigoyen 18;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;8;10/02/2016 0:00:00
;UCR00262;Udi;Casa rural vivienda;CRV 1 Estrella;Urrutis 0 S/N;OCHAGAVÍA;OCHAGAVÍA                                                                                           ;Pirineos;6;13/01/1995 0:00:00
IGANTZI;;;;;;;;;;
;UCR00952;Aizalegia;Casa rural vivienda;CRV 2 Estrellas;Piedadeko Auzoa 16;IGANTZI;IGANTZI                                                                                             ;Pirineos;6;24/03/2011 0:00:00
;UAT00324;Basajaun Basoa;Apartamento Turístico;Tercera/1 Llave;Irisarri 2;IGANTZI;IGANTZI                                                                                             ;Pirineos;44;01/10/2014 0:00:00
;UCR01137;Errota;Casa rural vivienda;CRV 2 Estrellas;de Arantza 13 Barrio Irisarri;IGANTZI;IGANTZI                                                                                             ;Pirineos;6;02/08/2018 0:00:00
;uab00085;Nonstopinn;Albergue turístico;2ª Categoria;Irisarri 2;IGANTZI;IGANTZI                                                                                             ;Pirineos;76;22/09/2014 0:00:00
;UHR00904;Palacio de Yrisarri;Hotel rural;3 Estrellas;Irisarri 1;IGANTZI;IGANTZI                                                                                             ;Pirineos;34;30/09/2014 0:00:00
;UCR00978;Txillarenea;Casa rural vivienda;CRV 2 Estrellas;Latsaga 10;IGANTZI;IGANTZI                                                                                             ;Pirineos;6;10/11/2011 0:00:00
;UATR0815;Zabalenea;Apartamento Turístico Rural;Segunda/2 Llaves;Berrizaun 26 1º;IGANTZI;IGANTZI                                                                                             ;Pirineos;5;09/08/2018 0:00:00
AKERRETA;;;;;;;;;;
;UH000777;Akerreta;Hotel;2 Estrellas;Transfiguración 11;AKERRETA;ESTERIBAR                                                                                           ;Pirineos;20;21/09/2004 0:00:00
HIRIBERRI/VILLANUEVA DE AEZKOA;;;;;;;;;;
;UHSR0644;Alaitze;Hostal;HsRural;San Salvador 52;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;10;02/11/1994 0:00:00
;UVTR0950;Arrondoa;Vivienda Turística Rural;Primera/3 Llaves;San Salvador 84;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;4;19/07/2019 0:00:00
;UCR00780;Casa Aguerre;Casa rural vivienda;CRV 2 Estrellas;San Salvador 67;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;8;28/02/2007 0:00:00
;ucr00292;Txikirrin II;Casa rural vivienda;CRV 2 Estrellas;San Salvador 69;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;10;28/06/1995 0:00:00
;ucr00700;Txikirrin III;Casa rural vivienda;CRV 4 Estrellas;San Salvador 69;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;8;14/06/2005 0:00:00
;ucr00701;Txikirrin Txiki;Casa rural vivienda;CRV 2 Estrellas;San Salvador 69;HIRIBERRI/VILLANUEVA DE AEZKOA;HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ;Pirineos;2;14/06/2005 0:00:00
BERIÁIN;;;;;;;;;;
;UH000439;Alaiz;Hotel;2 Estrellas;Pamplona-Zaragoza km.9 0;BERIÁIN;BERIÁIN                                                                                             ;Cuenca de Pamplona;128;05/08/1974 0:00:00
;UAT01044;Erletokieta 12;Apartamento Turístico;Segunda/2 Llaves;"Pamplona 18 ""P""";BERIÁIN;BERIÁIN                                                                                             ;Cuenca de Pamplona;3;29/06/2020 0:00:00
LORCA;;;;;;;;;;
;UAB00028;Albergue Bodega del Camino;Albergue turístico;2ª del Camino de Santiago;Placeta 8;LORCA;YERRI                                                                                               ;Zona Media;36;28/11/2006 0:00:00
;UAB00035;Albergue de Lorca;Albergue turístico;2ª del Camino de Santiago;Mayor 40;LORCA;YERRI                                                                                               ;Zona Media;14;20/04/2009 0:00:00
;UHS00952;Casa Nahia;Hostal;HsG;Pamplona 9;LORCA;YERRI                                                                                               ;Zona Media;14;24/04/2020 0:00:00
;UATR0626;Casa Txema;Apartamento Turístico Rural;Segunda/2 Llaves;Mayor 17;LORCA;YERRI                                                                                               ;Zona Media;5;09/09/2017 0:00:00
CABANILLAS;;;;;;;;;;
;UAB00065;Albergue de Cabanillas;Albergue turístico;2ª Categoria;De las Granjas 7;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;60;04/04/2013 0:00:00
;UCR00510;Alicia I;Casa rural vivienda;CRV 2 Estrellas;Caballeros de Jerusalen 34;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;8;09/08/2006 0:00:00
;UCR00545;Alicia II;Casa rural vivienda;CRV 1 Estrella;Caballeros de Jerusalen 35;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;10;30/01/2002 0:00:00
;UVT00299;Casa Reyno de Bardenas;Vivienda Turística;Segunda/2 Llaves;Caballeros de Jerusalén 84;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;14;13/03/2014 0:00:00
;UVT00038;Casa Senda Bardenas;Vivienda Turística;Segunda/2 Llaves;San Isidro 39;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;10;13/05/2004 0:00:00
;UAT00977;El Pórtico de las Bardenas Aitana;Apartamento Turístico;Segunda/2 Llaves;Juan XIII 28 A Bajo;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;8;25/11/2019 0:00:00
;UAT00930;El Pórtico de las Bardenas-Nekane;Apartamento Turístico;Segunda/2 Llaves;La Iglesia 21;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;9;10/06/2019 0:00:00
;UCR00812;Oscar;Casa rural vivienda;CRV 1 Estrella;Juan XXIII 15;CABANILLAS;CABANILLAS                                                                                          ;La Ribera;9;18/07/2007 0:00:00
LUZAIDE/VALCARLOS;;;;;;;;;;
;UAB00033;Albergue de Luzaide/Valcarlos;Albergue turístico;2ª del Camino de Santiago;Elizaldea 52;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;24;14/08/2008 0:00:00
;ucr00347;Bidandaenea;Casa rural habitaciones;CRH 2 Estrellas;Elizaldea 0 S/N;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;4;13/09/1996 0:00:00
;UCR00598;Bidandaenea A;Casa rural vivienda;CRV 2 Estrellas;Elizaldea 101;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;4;30/04/2003 0:00:00
;UCR00597;Bidandaenea B;Casa rural vivienda;CRV 2 Estrellas;Elizaldea 101;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;2;30/04/2003 0:00:00
;UPE00902;Casa Etxezuria;Pensión;P**;Elizaldea 60;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;2;06/05/2014 0:00:00
;ucr00673;Erlanio;Casa rural vivienda;CRV 4 Estrellas;Elizaldea 0 S/N;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;5;25/01/2005 0:00:00
;UATR0276;Estudio Etxezuría;Apartamento Turístico Rural;Tercera/1 Llave;Elizaldea 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;2;05/06/2013 0:00:00
;UCR00601;Etxezurialde I;Casa rural vivienda;CRV 2 Estrellas;Elizaldea 9;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;6;28/05/2003 0:00:00
;UCR00602;Etxezurialde II;Casa rural vivienda;CRV 2 Estrellas;Elizaldea 9;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;6;28/05/2003 0:00:00
;UCR00232;Manuelena;Casa rural vivienda;CRV 1 Estrella;Francia 0 s/n;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;8;29/06/1994 0:00:00
;UAT00205;Mendiola;Apartamento Turístico;Segunda/2 Llaves;Elizaldea 113 3º izq;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;4;15/04/2011 0:00:00
;UAT00301;Mendiola II;Apartamento Turístico;Segunda/2 Llaves;Elizaldea 113 Bajo B;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;3;29/04/2014 0:00:00
;UAT00305;Mendiola III;Apartamento Turístico;Segunda/2 Llaves;Elizaldea 113 1ºG;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;6;20/05/2014 0:00:00
;UAT00689;Mendiola IV;Apartamento Turístico;Segunda/2 Llaves;Elizalde 113 Bajo C;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;2;08/01/2018 0:00:00
;UAT00690;Mendiola V;Apartamento Turístico;Segunda/2 Llaves;Elizaldea 113 bajo C;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;;2;18/12/2017 0:00:00
;UCR00188;Navarlaz;Casa rural vivienda;CRV 2 Estrellas;Gaindola 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;8;30/07/1993 0:00:00
;ucr00405;Sipilinia;Casa rural habitaciones;CRH 1 Estrella;Pekotxeta 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;6;01/07/1998 0:00:00
;ucr00242;Toki-ona I;Casa rural habitaciones;CRH 2 Estrellas;Gaindola 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;12;17/08/1994 0:00:00
;UCR00750;Toki-ona II;Casa rural vivienda;CRV 1 Estrella;Gaindola 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;4;21/07/2006 0:00:00
;UATR0275;Txoko Etxezuría;Apartamento Turístico Rural;Segunda/2 Llaves;Elizaldea 0;LUZAIDE/VALCARLOS;LUZAIDE/VALCARLOS                                                                                   ;Pirineos;4;11/06/2013 0:00:00
MONREAL;;;;;;;;;;
;UAB00053;Albergue de Monreal;Albergue turístico;del Camino de Santiago;Santa Barbara 4;MONREAL;MONREAL                                                                                             ;Pirineos;21;22/12/2010 0:00:00
;UCR00754;Etxartenea;Casa rural habitaciones;CRH 3 Estrellas;Del Burgo 2;MONREAL;MONREAL                                                                                             ;Pirineos;8;03/08/2006 0:00:00
ORREAGA/RONCESVALLES;;;;;;;;;;
;UAB00062;Albergue de Roncesvalles;Albergue turístico;del Camino de Santiago;Francia 0;ORREAGA/RONCESVALLES;ORREAGA/RONCESVALLES                                                                                ;Pirineos;223;05/12/2012 0:00:00
;UAT00067;Casa de los Beneficiados;Apartamento Turístico;Segunda/2 Llaves;Ntra Sra de Roncesvalles 0;ORREAGA/RONCESVALLES;ORREAGA/RONCESVALLES                                                                                ;Pirineos;52;06/07/2006 0:00:00
;UHSR0183;Casa Sabina;Hostal;HsRural;Pamplona-Francia km. 48 0;ORREAGA/RONCESVALLES;ORREAGA/RONCESVALLES                                                                                ;Pirineos;8;13/09/1969 0:00:00
;UHSR0576;La Posada;Hostal;HsRural;Única, s/n 0;ORREAGA/RONCESVALLES;ORREAGA/RONCESVALLES                                                                                ;Pirineos;53;30/07/1985 0:00:00
;UHR00855;Roncesvalles;Hotel rural;3 Estrellas;Ntra Sra de Roncesvalles 14;ORREAGA/RONCESVALLES;ORREAGA/RONCESVALLES                                                                                ;Pirineos;32;09/12/2009 0:00:00
TIEBAS;;;;;;;;;;
;UAB00049;Albergue de Tiebas;Albergue turístico;del Camino de Santiago;Mayor 18;TIEBAS;TIEBAS-MURUARTE DE RETA                                                                             ;Cuenca de Pamplona;14;23/07/2010 0:00:00
VILLAVA;;;;;;;;;;
;UAB00047;Albergue de Villava;Albergue turístico;1ª del Camino de Santiago;Pedro de Atarrabia 17 trasera;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;48;28/04/2010 0:00:00
;UPE00610;Obel;Pensión;P*;Las Eras 5 2º;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;11;28/02/1990 0:00:00
;UAT00807;Villa Ganbara;Apartamento Turístico;Primera/3 Llaves;Serapio Huici 15;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;8;03/07/2018 0:00:00
;UH000783;Villava;Hotel;3 Estrellas;Pamplona 0 S/N;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;115;16/06/2005 0:00:00
;UAT00832;Villava-Pamplona 2;Apartamento Turístico;Segunda/2 Llaves;Karrobide 2 Entreplanta;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;2;26/09/2018 0:00:00
;UAT00833;Villava-Pamplona 3;Apartamento Turístico;Segunda/2 Llaves;Karrobide  2 Entreplanta;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;2;26/09/2018 0:00:00
;UAT00881;Villava-Pamplona 4;Apartamento Turístico;Segunda/2 Llaves;Karrobide 2 Entrep-apt 4;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;2;11/03/2019 0:00:00
;UAT00831;Villava-Pamplona I;Apartamento Turístico;Segunda/2 Llaves;Karrobide 2 Entreplanta;VILLAVA;VILLAVA <> ATARRABIA                                                                                ;Cuenca de Pamplona;2;14/11/2018 0:00:00
HUARTE;;;;;;;;;;
;UAB00068;Albergue Municipal de Huarte;Albergue turístico;del Camino de Santiago;San Juan 5;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;60;23/05/2013 0:00:00
;UH000009;Don Carlos;Hotel;2 Estrellas;Dorraburu 0 S/N;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;47;13/09/1969 0:00:00
;UH000741;Iriguibel;Hotel;3 Estrellas;Intxaurdia 4;HUARTE;HUARTE <> UHARTE                                                                                    ;Cuenca de Pamplona;68;06/02/2002 0:00:00
ZUBIRI;;;;;;;;;;
;UAB00070;Albergue Municipal de Zubiri;Albergue turístico;del Camino de Santiago;Roncesvalles 0;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;44;05/06/2013 0:00:00
;UPE00865;Amets;Pensión;P*;Gerestegi 25;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;9;11/08/2010 0:00:00
;UPE00776;Benta Berri;Pensión;P*;Roncesvalles 10 4º Izda;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;6;02/09/2004 0:00:00
;UAB00042;El Palo del Avellano;Albergue turístico;1ª Categoria;Roncesvalles 16;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;59;17/02/2010 0:00:00
;UHSR0680;Hostería de Zubiri;Hostal;HsRural;Roncesvalles 6;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;20;21/05/1997 0:00:00
;UATR0326;Puente de la Rabia;Apartamento Turístico Rural;Segunda/2 Llaves;Puente de la Rabia 3 3ºC;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;4;30/10/2014 0:00:00
;UAB00086;Rio Arga Ibaia;Albergue turístico;del Camino de Santiago;Puente de la Rabia 7;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;20;03/10/2014 0:00:00
;UAB00116;Segunda Etapa;Albergue turístico;2ª Categoria;Roncesvalles 22;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;12;14/11/2016 0:00:00
;UAB00093;Suseia The Pilgrims Home;Albergue turístico;2ª Categoria;Murelu 12;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;20;09/11/2015 0:00:00
;UCR01102;Txantxorena;Casa rural habitaciones;CRH 3 Estrellas;La Zatoya 5;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;16;31/05/2017 0:00:00
;upe00767;Usoa;Pensión;P*;Puente de la Rabia,1 2º dcha 0;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;9;15/12/2003 0:00:00
;uab00024;Zaldiko;Albergue turístico;2ª Categoria;Puente de la Rabia,1 bajo 0;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;24;27/10/2006 0:00:00
;UPE00928;Zaldiko;Pensión;P*;Roncesvalles 10 1º Dcha;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;9;21/08/2017 0:00:00
;UPE00844;Zubiaren Etxea;Pensión;P*;Camino de Santiago 2;ZUBIRI;ESTERIBAR                                                                                           ;Pirineos;7;06/11/2008 0:00:00
ARRE;;;;;;;;;;
;UAB00063;Albergue Turístico de Arre;Albergue turístico;del Camino de Santiago;Puente del Peregrino 2;ARRE;EZCABARTE                                                                                           ;Cuenca de Pamplona;34;04/03/2013 0:00:00
ARRAITZ-ORKIN;;;;;;;;;;
;UCR00942;Albirena;Casa rural vivienda;CRV 4 Estrellas;La Asunción 18;ARRAITZ-ORKIN;ULTZAMA                                                                                             ;Pirineos;14;10/09/2010 0:00:00
;UHR00109;Juan Simón;Hotel rural;1 Estrella;La Asunción(Bº Ventas de Arrai 11;ARRAITZ-ORKIN;ULTZAMA                                                                                             ;Pirineos;14;31/03/1945 0:00:00
;UHR00204;Venta Ulzama;Hotel rural;2 Estrellas;Pamplona-Francia, Km 31  0;ARRAITZ-ORKIN;ULTZAMA                                                                                             ;Pirineos;27;31/10/1949 0:00:00
SARRIÉS;;;;;;;;;;
;UCR00903;Aldapa Etxea;Casa rural vivienda;CRV 3 Estrellas;Santo Tomás, s/n 0;SARRIÉS;SARRIÉS <> SARTZE                                                                                   ;Pirineos;4;18/08/2009 0:00:00
ZIGA;;;;;;;;;;
;UCR01010;Aldekoa;Casa rural habitaciones;CRH 3 Estrellas;Karrika Nagusia 10;ZIGA;BAZTAN                                                                                              ;Pirineos;14;23/05/2013 0:00:00
;UCR00486;Aldekotxeberria;Casa rural vivienda;CRV 3 Estrellas;Nagusia 13;ZIGA;BAZTAN                                                                                              ;Pirineos;6;02/08/2000 0:00:00
;UCR00950;Behin Batean;Casa rural vivienda;CRV 2 Estrellas;Azperro 0;ZIGA;BAZTAN                                                                                              ;Pirineos;12;25/01/2011 0:00:00
;UCR00994;Gamioko Borda;Casa rural vivienda;CRV 3 Estrellas;Almándoz NA-2540 0;ZIGA;BAZTAN                                                                                              ;Pirineos;8;26/06/2012 0:00:00
;ucr00714;Posada de Ziga;Casa rural habitaciones;CRH 3 Estrellas;Nagusia 5;ZIGA;BAZTAN                                                                                              ;Pirineos;8;07/09/2007 0:00:00
;ucr00155;Zigako Etxezuria;Casa rural habitaciones;CRH 4 Estrellas;Triputxin 2;ZIGA;BAZTAN                                                                                              ;Pirineos;14;03/07/1992 0:00:00
CINTRUÉNIGO;;;;;;;;;;
;uh000613;Alhama;Hotel;3 Estrellas;N.113 Pamplona-Madrid 0;CINTRUÉNIGO;CINTRUÉNIGO                                                                                         ;La Ribera;64;10/10/1990 0:00:00
;UHS00762;La Casa de mi Abuela;Hostal;HsG;Primicia 35;CINTRUÉNIGO;CINTRUÉNIGO                                                                                         ;La Ribera;10;01/09/2003 0:00:00
;UVT00284;La Casona de Sandalio;Vivienda Turística;Primera/3 Llaves;Mesón 44;CINTRUÉNIGO;CINTRUÉNIGO                                                                                         ;La Ribera;10;19/09/2013 0:00:00
;UH000395;Maher;Hotel;3 Estrellas;Ribera 19;CINTRUÉNIGO;CINTRUÉNIGO                                                                                         ;La Ribera;32;08/07/1971 0:00:00
JAURRIETA;;;;;;;;;;
;ucr00565;Alicia-enea;Casa rural vivienda;CRV 2 Estrellas;Landas 5;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;8;04/09/2002 0:00:00
;UCR00876;Arrese I;Casa rural habitaciones;CRH 1 Estrella;San Pedro 3;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;2;18/11/2008 0:00:00
;UCR00877;Arrese II;Casa rural vivienda;CRV 1 Estrella;La Blanca 2;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;4;13/09/2008 0:00:00
;ucr00176;Ayabe;Casa rural habitaciones;CRH 2 Estrellas;San Pedro 10;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;4;31/12/1992 0:00:00
;UCR00981;Bordika;Casa rural vivienda;CRV 2 Estrellas;LLana 15;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;8;22/12/2011 0:00:00
;UCR00959;Casa Iturralde;Casa rural vivienda;CRV 2 Estrellas;Lllana 29 A;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;5;05/10/2011 0:00:00
;UHSR0493;Casa Sario;Hostal;HsRural;LLana 11;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;13;11/08/1977 0:00:00
;UHR00704;Eseverry;Hotel rural;2 Estrellas;Llana 35;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;19;28/07/1999 0:00:00
;UHR00765;Irati;Hotel rural;2 Estrellas;Ezcaroz 4;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;12;30/10/2003 0:00:00
;ucr00036;Lucuj;Casa rural habitaciones;CRH 1 Estrella;Llana 13;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;6;06/06/1990 0:00:00
;UCR01012;Zubiat;Apartamento Turístico Rural;Segunda/2 Llaves;Mayor 2;JAURRIETA;JAURRIETA                                                                                           ;Pirineos;12;23/05/2013 0:00:00
BERA;;;;;;;;;;
;ucr00313;Alkeberea;Casa rural habitaciones;CRH 2 Estrellas;Casa Alkeberea 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;14;19/11/2007 0:00:00
;UATR0166;Ator Etxea I, II, III, IV;Apartamento Turístico Rural;Segunda/2 Llaves;Ator Etxea Bo Suspelttiki 13;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;16;10/03/2010 0:00:00
;UHSR0773;Auzoa;Hostal;HsRural;Illekueta 13;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;12;26/07/2004 0:00:00
;UH000753;Churrut;Hotel;3 Estrellas;Los Fueros 2;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;33;02/09/2002 0:00:00
;ucr00231;Erretenekoborda;Casa rural vivienda;CRV 2 Estrellas;Alto de  Ibardin 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;10;29/06/1994 0:00:00
;ucr00138;Iratxeko-berea I;Casa rural vivienda;CRV 2 Estrellas;Kaule 5;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;10;13/09/1991 0:00:00
;UCR00295;Iratxeko-berea II;Casa rural vivienda;CRV 2 Estrellas;Larun 5;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;8;19/07/1995 0:00:00
;UHS00761;Lizuniaga;Hostal;HsG;Garaitarreta Auzoa 26;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;8;10/09/2003 0:00:00
;ucr00478;Romano;Casa rural habitaciones;CRH 2 Estrellas;Kaserna 8;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;4;10/05/2000 0:00:00
;UCR00870;Udagaraia;Casa rural vivienda;CRV 2 Estrellas;Suspela 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;6;08/10/2008 0:00:00
;UCR01158;Uxaneko Errota;Casa rural vivienda;CRV 3 Estrellas;Garaitarreta Auzoa 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;4;24/06/2020 0:00:00
;UATR0025;Venta Elizalde;Apartamento Turístico;Primera/3 Llaves;Alto de Ibardin 0;BERA;BERA/VERA DE BIDASOA                                                                                ;Pirineos;2;21/05/2003 0:00:00
