CÓDIGO,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,ZONA,PLAZAS,COORDENADAS
UAT00603,Englantina,Apartamento Turístico,Segunda/2 Llaves,Compañia 2 1º IZ,PAMPLONA,Cuenca de Pamplona,4.0,"(36.5308425, -6.2965162)"
UPE00521,Eslava,Pensión,P*,Calle Eslava 13 1º,PAMPLONA,Cuenca de Pamplona,17.0,"(36.713465, -4.4307949)"
UAT00346,Estafeta,Apartamento Turístico,Tercera/1 Llave,Calle de la Estafeta 22,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8178567, -1.6425493)"
UAT00726,Estafeta 12,Apartamento Turístico,Primera/3 Llaves,Calle de la Estafeta 12,PAMPLONA,Cuenca de Pamplona,2.0,"(40.374109, -3.6938056)"
UAT00598,Estafeta 37,Apartamento Turístico,Segunda/2 Llaves,Calle de la Estafeta 37,PAMPLONA,Cuenca de Pamplona,3.0,"(42.817628, -1.6421769)"
UAT00535,Estafeta 39,Apartamento Turístico,Primera/3 Llaves,Calle de la Estafeta 39,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8175782, -1.6420895)"
UAT00539,Estafeta/Casco Antiguo,Apartamento Turístico,Tercera/1 Llave,Calle de la Estafeta 75,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8165242, -1.641424)"
UAT00263,Estela,Apartamento Turístico,Segunda/2 Llaves,Travesía Acella 7 ,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072572, -1.6638035)"
UPE00939,Estela,Pensión,P*,Calle Sancho Ramirez  9,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8073889, -1.6639633)"
UPE00941,Estela II,Pensión,P*,Calle Sancho Ramirez 5 ,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072373, -1.66378)"
UAT00584,Etxea Rentals,Apartamento Turístico,Tercera/1 Llave,Juan Mª Guelbenzu 4 1ºD,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8064675, -1.636943)"
UH000003,Europa,Hotel,3 Estrellas,Espoz y Mina 11,PAMPLONA,Cuenca de Pamplona,38.0,"(42.8162102, -1.6417963)"
UHS00936,Ezkaba,Hostal,HsG,Guipuzcoa 40 Oficina 1,PAMPLONA,Cuenca de Pamplona,12.0,"(43.3060583, -1.9800084)"
UAT00519,Frente a Catedral,Apartamento Turístico,Tercera/1 Llave,Dormitaleria 10 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.819304, -1.6416331)"
UAT00609,G & A,Apartamento Turístico,Tercera/1 Llave,Calle Calderería 1,PAMPLONA,Cuenca de Pamplona,3.0,"(37.1777623, -3.5975745)"
UAT00575,G&A III,Apartamento Turístico,Tercera/1 Llave,Calle Calderería 5,PAMPLONA,Cuenca de Pamplona,2.0,"(36.7219985, -4.4206879)"
UPE00817,Gestión de Alojamientos,Pensión,P*,Av. de Pío XII 34,PAMPLONA,Cuenca de Pamplona,6.0,"(40.4668743, -3.6742675)"
UPE00818,Gestión de Alojamientos I,Pensión,P*,Av. de Pío XII 26,PAMPLONA,Cuenca de Pamplona,4.0,"(40.4664286, -3.6745449)"
UPE00819,Gestión de Alojamientos II,Pensión,P*,Travesía Acella 3 ,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8063859, -1.6633542)"
UAT00131,Gestión de alojamientos II,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 5 6ºA,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8076818, -1.6611705)"
UAT00132,Gestión de alojamientos III,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 2 6ºD,PAMPLONA,Cuenca de Pamplona,4.0,"(42.80842699999999, -1.6604504)"
UAT00133,Gestión de alojamientos IV,Apartamento Turístico,Primera/3 Llaves,Av. de Pío XII 24,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8079065, -1.660234)"
UAT00356,Gestión de Alojamientos IX,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 1 3ºC,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8083234, -1.6602729)"
UAT00134,Gestión de alojamientos V,Apartamento Turístico,Primera/3 Llaves,Av. de Pío XII 26,PAMPLONA,Cuenca de Pamplona,2.0,"(40.4664286, -3.6745449)"
UAT00135,Gestión de Alojamientos VI,Apartamento Turístico,Primera/3 Llaves,Av. de Pío XII 24,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8079065, -1.660234)"
UAT00364,Gestión de Alojamientos VII,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 2 3º C,PAMPLONA,Cuenca de Pamplona,4.0,"(42.80842699999999, -1.6604504)"
UAT00365,Gestión de Alojamientos X,Apartamento Turístico,Primera/3 Llaves,Av. de Pío XII 30,PAMPLONA,Cuenca de Pamplona,7.0,"(40.466666, -3.6744329)"
UAT00357,Gestión de Alojamientos XI,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 1 3ºE,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8083234, -1.6602729)"
UAT00379,Gestión de Alojamientos XII,Apartamento Turístico,Primera/3 Llaves,Pintor Maeztu 10 5º A,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8065418, -1.6598658)"
UAT00723,Gestion de Alojamientos XIX,Apartamento Turístico,Primera/3 Llaves,Av. de Pío XII 28,PAMPLONA,Cuenca de Pamplona,3.0,"(40.46646459999999, -3.6747149)"
UAT00729,Gestion de Alojamientos XVII,Apartamento Turístico,Segunda/2 Llaves,Calle Sancho Ramirez 3,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8072955, -1.6636688)"
UAT00747,Gestión De Alojamientos XX,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 5 Esc.Iza. 6ºA,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8076818, -1.6611705)"
UAT00740,Gestión De Alojamientos XXI,Apartamento Turístico,Primera/3 Llaves,"Pintor Paret  5 Esca, Izda, 4º",PAMPLONA,no definida,2.0,"(42.8076818, -1.6611705)"
UAT00744,Gestión De Alojamientos XXII,Apartamento Turístico,Segunda/2 Llaves,"Pintor Paret 5 Esc, Izda, 3º B",PAMPLONA,Cuenca de Pamplona,2.0,"(42.8076818, -1.6611705)"
UAT00739,Gestión De Alojamientos XXIII,Apartamento Turístico,Primera/3 Llaves,Pintor Paret  5 Esc. Izda 7 º A,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8076818, -1.6611705)"
UAT00738,Gestión De Alojamientos XXIV,Apartamento Turístico,Primera/3 Llaves,Pío XII 26,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8076683, -1.6604763)"
UAT00742,Gestión De Alojamientos XXIX,Apartamento Turístico,Segunda/2 Llaves,Calle Sancho Ramirez 1,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8066239, -1.661705)"
UAT00746,Gestión De Alojamientos XXV,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 3 4º Izda,PAMPLONA,Cuenca de Pamplona,4.0,"(42.808515, -1.6607047)"
UAT00745,Gestión De Alojamientos XXVI,Apartamento Turístico,Primera/3 Llaves,Pio XXII 24 ESC. IZDA 6º D,PAMPLONA,Cuenca de Pamplona,4.0,"(40.4662046, -3.6747676)"
UAT00741,Gestión De Alojamientos XXVII,Apartamento Turístico,Segunda/2 Llaves,La Rioja  1 3º F,PAMPLONA,Cuenca de Pamplona,6.0,"(42.2870733, -2.539603)"
UAT00743,Gestión De Alojamientos XXVIII,Apartamento Turístico,Primera/3 Llaves,Pintor Paret 4 3º C,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8082378, -1.6609106)"
UH000023,Gran Hotel La Perla,Hotel,5 Estrellas,del Castillo 1,PAMPLONA,Cuenca de Pamplona,87.0,"(29.89786179999999, -81.31151870000001)"
UAT00685,Hemingway,Apartamento Turístico,Segunda/2 Llaves,Joaquin Jarauta 46 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8187279, -1.6470172)"
UAT00791,Hogar de San Fermín,Apartamento Turístico,Primera/3 Llaves,Santo Domingo  27 Bis 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(18.4860575, -69.93121169999999)"
UAT00986,Home Sweet home - Main St Pamplona,Apartamento Turístico,Tercera/1 Llave,Calle Mayor 46,PAMPLONA,Cuenca de Pamplona,8.0,"(40.4160472, -3.709144)"
UAT01029,Ibarrenea,Apartamento Turístico,Segunda/2 Llaves,Calle de San Antón 29,PAMPLONA,Cuenca de Pamplona,2.0,"(40.4230169, -3.6984903)"
UAT01011,Irati,Apartamento Turístico,Tercera/1 Llave,Río Araxes 5 1º Dcha,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8040928, -1.6426389)"
UAT00295,Iruña,Apartamento Turístico,Segunda/2 Llaves,Travesía Acella 7 4ºB,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072572, -1.6638035)"
UAT00406,Iruña II,Apartamento Turístico,Segunda/2 Llaves,Pío XIi 30 Esc Dcha 7ºA,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8082167, -1.659613)"
UH000027,Iruña Palace. Tres Reyes,Hotel,4 Estrellas,Paseo de la Taconera S/N,PAMPLONA,Cuenca de Pamplona,336.0,"(42.8169877, -1.6513931)"
UAT01018,Irunlarrea,Apartamento Turístico,Tercera/1 Llave,Irunlarrea 8 Bis-1º F,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8077714, -1.6693528)"
UAT01012,Isaac,Apartamento Turístico,Tercera/1 Llave,Isaac Albéniz 2 1º Dcha,PAMPLONA,Cuenca de Pamplona,5.0,"(40.4464664, -3.8614343)"
UAT00596,Jarauta,Apartamento Turístico,Tercera/1 Llave,Joaquin Jarauta 18 3º D,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8186898, -1.645645)"
UAB00079,Jesús y María,Albergue turístico,del Camino de Santiago,Compañia 4,PAMPLONA,Cuenca de Pamplona,112.0,"(37.1266813, -96.18398210000001)"
UAT00369,Juanito´s Apartments,Apartamento Turístico,Primera/3 Llaves,Calle de la Estafeta 83,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8162419, -1.6412106)"
UAT00668,La Merced,Apartamento Turístico,Tercera/1 Llave,Calle de la Merced 27,PAMPLONA,Cuenca de Pamplona,3.0,"(19.313589, -99.03979249999999)"
UAT00185,"La Montañesa I, II y III",Apartamento Turístico,Segunda/2 Llaves,Calle San Gregorio 2,PAMPLONA,Cuenca de Pamplona,8.0,"(42.4683159, -2.4463872)"
upe00694,La Residencia,Pensión,P*,Bergamín 45 4º Dcha,PAMPLONA,Cuenca de Pamplona,12.0,"(42.8088851, -1.6370921)"
upe00721,La Residencia 2,Pensión,P*,Roncesvalles 2 5º Dcha,PAMPLONA,Cuenca de Pamplona,12.0,"(43.0091774, -1.31951)"
upe00740,La Residencia 3,Pensión,P*,"Iturralde y Suit, 1 1º centro 0",PAMPLONA,Cuenca de Pamplona,9.0,"(42.8113892, -1.6333088)"
UH000930,Landaben,Hotel,2 Estrellas,"Landaben, c/ L 0 s/n",PAMPLONA,Cuenca de Pamplona,25.0,"(42.8085673, -1.6991552)"
UH000360,Leyre,Hotel,3 Estrellas,Calle Leyre 7,PAMPLONA,Cuenca de Pamplona,101.0,"(42.8140501, -1.6391087)"
upe00693,Leyre,Pensión,P**,Fco. Bergamín 5 2º y 3º,PAMPLONA,Cuenca de Pamplona,12.0,"(42.8131699, -1.6418244)"
UAT00218,Leyre,Apartamento Turístico,Primera/3 Llaves,Leyre 24 1º dcha,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8120342, -1.6428475)"
UAT00587,Lindux Apart Pamplona,Apartamento Turístico,Segunda/2 Llaves,Avenida Arostegui 7 2 C,PAMPLONA,Cuenca de Pamplona,3.0,"(42.800656, -1.6695783)"
UH000346,Maisonnave,Hotel,4 Estrellas,Nueva 20,PAMPLONA,Cuenca de Pamplona,271.0,"(40.75857500000001, -73.980023)"
UAT00677,Maitagarri Casco Antiguo,Apartamento Turístico,Segunda/2 Llaves,Recoletas  8 1º A,PAMPLONA,Cuenca de Pamplona,2.0,"(40.4218254, -3.6899761)"
UAT00650,Mañueta,Apartamento Turístico,Tercera/1 Llave,"Mañueta 14 BIS, 3º IZ",PAMPLONA,Cuenca de Pamplona,4.0,"(42.8190154, -1.643505)"
UPE00647,Mari Asun,Pensión,P*,Av. de Pío XII 32,PAMPLONA,Cuenca de Pamplona,11.0,"(42.8063562, -1.6619065)"
UPE00882,Mendi,Pensión,P*,Navas de Tolosa 9 3º Izda,PAMPLONA,Cuenca de Pamplona,8.0,"(40.4190042, -3.7072241)"
UAT00692,Mendillorri,Apartamento Turístico,Segunda/2 Llaves,Concejo de Azpa 8 Bajo A,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8115197, -1.6122213)"
UAT00331,Mercaderes,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 14 4º Exterior Dch,PAMPLONA,Cuenca de Pamplona,2.0,"(42.81861989999999, -1.6427862)"
UPE00717,Mesón del Barro II,Pensión,P**,Calle Sancho Ramírez 3,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072955, -1.6636688)"
UHS00742,Mesón del Barro III,Hostal,HsG,Calle Sancho Ramirez 13 ,PAMPLONA,Cuenca de Pamplona,7.0,"(41.6323149, -0.8832177)"
UAT00676,Monasterio,Apartamento Turístico,Tercera/1 Llave,Monasterio de la Oliva 58 2ºD,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8151522, -1.6625057)"
UAT00576,Navar,Apartamento Turístico,Tercera/1 Llave,Calle Navarreria 10 5º Dcha,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8191976, -1.6427716)"
UHS00045,Navarra,Hostal,HsG,Tudela 9 2ª,PAMPLONA,Cuenca de Pamplona,25.0,"(42.0613816, -1.6063169)"
UAT00795,Navas I,Apartamento Turístico,Segunda/2 Llaves,Navas de Tolosa  9 3º Dcha,PAMPLONA,"Cuenca de Pamplona, La Ribera",6.0,"(40.4190042, -3.7072241)"
UAT00794,Navas II,Apartamento Turístico,Segunda/2 Llaves,Navas de Tolosa  9 4º Dcha,PAMPLONA,no definida,6.0,"(40.4190042, -3.7072241)"
UH000603,NH Iruña Park,Hotel,4 Estrellas,Arcadio Larraona 1,PAMPLONA,Cuenca de Pamplona,420.0,"(42.8114463, -1.6638476)"
UAT00577,Nicanor 3,Apartamento Turístico,Segunda/2 Llaves,Nicanor Beistegui 3 2º C,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8029016, -1.6705638)"
UAT00579,Nicanor 5,Apartamento Turístico,Segunda/2 Llaves,Nicanor Beistegui 5 4º B,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8027729, -1.6704412)"
UPE00657,Olga,Pensión,P*,Av. de Pío XII 34,PAMPLONA,Cuenca de Pamplona,6.0,"(40.4668743, -3.6742675)"
UAT00564,Olga III,Apartamento Turístico,Segunda/2 Llaves,Travesía Acella 7 5ºC,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072572, -1.6638035)"
UAT00418,One Minute from Plaza Castillo,Apartamento Turístico,Tercera/1 Llave,Calle Zapatería 42 ,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8173049, -1.6445924)"
UH000852,Palacio de Guendulain,Hotel,4 Estrellas,Calle Zapatería 53,PAMPLONA,Cuenca de Pamplona,52.0,"(42.8165519, -1.6452941)"
UAT00336,Pamplona,Apartamento Turístico,Segunda/2 Llaves,Villava 18 B,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8314377, -1.6123283)"
UPE00825,Pamplona Beds,Pensión,P*,Travesía Acella 3,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8063859, -1.6633542)"
UAT00464,Pamplona City,Apartamento Turístico,Segunda/2 Llaves,Larrabide 9 2Dcha.,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8074875, -1.6369839)"
