CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
UR000519,Basaburua,Restaurantes,Segunda/2 Tenedores,Calle Florencio de Ansoleaga 16,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.817281, -1.6462614)"
UR000016,Baserri,Restaurantes,Sin definir,Calle San Nicolás 32,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8165043, -1.6446303)"
uc000157,Bavaros,Cafeterías,Segunda/1 Taza,"Azuelo, 1 trasera 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.6086982, -2.3495943)"
UR000676,Baztan,Restaurantes,Tercera/1 tenedor,"Calle de Irunlarrea, 6",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8077115, -1.6691608)"
UR000364,Belástegui,Restaurantes,Sin definir,Obispo Irurita 0 S/N,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8132616, -1.6590714)"
ur000518,Bella Epoca,Restaurantes,Sin definir,Navarra 3 Bajo,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8064215, -1.6633182)"
uc000092,Biarritz,Cafeterías,Segunda/1 Taza,Conde Oliveto 2,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8129216, -1.6437844)"
uc000082,Brunos,Cafeterías,Segunda/1 Taza,Pintor Asenjo 12,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8092918, -1.6572152)"
UR000922,Bruselas Kairos,Restaurantes,Sin definir,Yanguas y Miranda 17,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8122213, -1.6449524)"
UR000065,Burger King,Restaurantes,Comida rápida,Sancho el Fuerte 83,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8115984, -1.6619042)"
UR001024,Burger King,Restaurantes,Comida rápida,Calle Soto Aizoáin 11,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8321497, -1.6821514)"
UR131049,Burger King,Restaurantes,Comida rápida,Calle Mercaderes 17,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8184774, -1.6432384)"
UR001114,Burgerheim,Restaurantes,Segunda/2 Tenedores,Calle Amaya 2,PAMPLONA,Cuenca de Pamplona,"Asador, Internacional, Rápida","(42.8154763, -1.6405906)"
uc000153,Cafe Bar Central,Cafeterías,Segunda/1 Taza,Yamaguchi 6,PAMPLONA,Cuenca de Pamplona,No definida,"(34.1782945, 131.4738432)"
UR000060,Café con sal,Restaurantes,Tercera/1 tenedor,Juan de Labrit 29,PAMPLONA,Cuenca de Pamplona,"Asador, Casera o regional, De tapas y raciones","(42.817069, -1.6397752)"
ur000868,Cafe Iruña,Restaurantes,Sin definir,Pl. del Castillo 44,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8174602, -1.6434081)"
