CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
UR000952,La trastienda del colmado,Restaurantes,Sin definir,Iturralde y Suit 24 bajo,PAMPLONA,Cuenca de Pamplona,Innovadora,"(42.8114499, -1.6336809)"
ur000788,La Trattoria,Restaurantes,Sin definir,Av. de Pío XII 24,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8079065, -1.660234)"
ur000477,La Unión,Restaurantes,Sin definir,Villava 10,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8314377, -1.6123283)"
ur000590,La Vieja Iruña,Restaurantes,Sin definir,Calle San Nicolás 40 bajo,PAMPLONA,Cuenca de Pamplona,"Casera o regional, De autor, De tapas y raciones","(43.5229729, -5.671802)"
UR000030,La Viña,Restaurantes,Sin definir,Calle Jarauta 8,PAMPLONA,Cuenca de Pamplona,No definida,"(20.6710797, -103.3319071)"
uc000090,Lakora,Cafeterías,Segunda/1 Taza,Av. de Pío XII 34,PAMPLONA,Cuenca de Pamplona,No definida,"(40.4668743, -3.6742675)"
ur000369,Lanzale,Restaurantes,Sin definir,Calle San Lorenzo 31,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(40.3527467, -3.9014156)"
UR000135,Le Mans,Restaurantes,Sin definir,Monasterio de Urdax 0 S/N,PAMPLONA,Cuenca de Pamplona,No definida,"(43.2661126, -1.5029705)"
ur000738,Level-10,Restaurantes,Sin definir,Padre Adoain 223,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8307244, -1.6385611)"
uc000042,Lido,Cafeterías,Segunda/1 Taza,Virgen del Soto 2,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8010507, -1.6700935)"
UR001064,Lizarra,Restaurantes,Segunda/2 Tenedores,"Paraje Ordoiz, s/n ",ESTELLA,Zona Media,Casera o regional,"(42.6569072, -2.0166291)"
ur000494,Los Alfares,Restaurantes,Sin definir,Avenida Sancho el Fuerte 32,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8119107, -1.6615911)"
uc000101,Los Vieneses,Cafeterías,Segunda/1 Taza,Calle de Acella 15,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8092376, -1.6603967)"
ur000374,Manolo,Restaurantes,Sin definir,Santa Engracia 7,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(40.4290185, -3.6963731)"
ur000102,Mc Donalds Yamaguchi,Restaurantes,Sin definir,Barañain 23,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8041023, -1.6846077)"
UR000057,Mei Mei,Restaurantes,Segunda/2 Tenedores,Yanguas y Miranda 21,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8118178, -1.6448005)"
UR000892,Melbourne,Restaurantes,Sin definir,Olite 36,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.81071300000001, -1.6339725)"
uc000129,Mendebaldea,Cafeterías,Primera/2 Tazas,Calle de Irunlarrea 5,PAMPLONA,Cuenca de Pamplona,No definida,"(42.80739, -1.669879)"
ur000483,Mesón del Barro,Restaurantes,Sin definir,"Frente a la Clínica Universitaria de, Calle de Acella, 2",PAMPLONA,Cuenca de Pamplona,Asador,"(42.8060937, -1.6627761)"
ur000405,Mesón El Burladero,Restaurantes,Sin definir,"Calle Emilio Arrieta, 9 bis 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8149447, -1.6391304)"
ur000898,Mesón La Cuchara,Restaurantes,Sin definir,Remiro de Goñi 26,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.802871, -1.6775658)"
ur000501,Mikael,Restaurantes,Sin definir,Calle de Francisco Bergamin Kalea17,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.81188, -1.6403062)"
uc000130,Milan,Cafeterías,Segunda/1 Taza,Tafalla 6,PAMPLONA,Cuenca de Pamplona,No definida,"(42.5207438, -1.6768866)"
UR001008,Mister Wok,Restaurantes,Tercera/1 tenedor,Río Arga 18 bajo,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8219974, -1.6530431)"
UR001080,Molino de Caparroso,Restaurantes,Segunda/2 Tenedores,"Caparroso, s/n 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.33888, -1.64524)"
ur000193,Montón,Restaurantes,Sin definir,Calle Jarauta 29,PAMPLONA,Cuenca de Pamplona,No definida,"(20.6714594, -103.3319713)"
ur000297,Mulan,Restaurantes,Sin definir,"Monasterio de Azuelo, nº 2 0",PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8150945, -1.6592179)"
UR000974,Ñam,Restaurantes,Sin definir,Paseo Sarasate 28,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8154003, -1.6459011)"
UR000385,Navarra,Restaurantes,Segunda/2 Tenedores,Gustavo de Maeztu 16,ESTELLA,Zona Media,Casera o regional,"(42.669463, -2.0354156)"
UR001105,Nh Iruña Park,Restaurantes,Tercera/1 tenedor,Arcadio Mª Larraona 1,PAMPLONA,Cuenca de Pamplona,"Casera o regional, Rápida","(42.8114463, -1.6638476)"
UR000688,Obas,Restaurantes,Segunda/2 Tenedores,"Calle de Irunlarrea, 6-8 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8077115, -1.6691608)"
ur000234,Oiat,Restaurantes,Sin definir,Navarrería 4,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8191486, -1.6428098)"
uc000170,Okapi,Cafeterías,Segunda/1 Taza,Pl. del Castillo 11,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8169613, -1.6419751)"
ur000511,Olazti,Restaurantes,Sin definir,Calle Mayor 51,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(33.8083452, -118.3890617)"
uc000003,Orbela,Cafeterías,Segunda/1 Taza,Santo Domingo 4,PAMPLONA,Cuenca de Pamplona,No definida,"(18.476673, -69.9572273)"
uc000137,Osiris,Cafeterías,Segunda/1 Taza,"Calle de Irunlarrea, 5-trasera 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.80739, -1.669879)"
ur000755,Ostargi,Restaurantes,Sin definir,"de Sarriguren, 2-4 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8127607, -1.5980928)"
UR000863,Pabellón Deportivo de Estella-Lizarra,Restaurantes,Sin definir,Calle La Merindad 2,ESTELLA,Zona Media,Casera o regional,"(42.6713816, -2.0369629)"
uc000084,Palace,Cafeterías,Segunda/1 Taza,Estella 3,PAMPLONA,Cuenca de Pamplona,No definida,"(40.8543343, -74.2538112)"
ur000452,Palacio Chino,Restaurantes,Sin definir,"Calle de la Estafeta, 73-1º ",PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8166178, -1.6413587)"
UR001091,Palacio Guendulain,Restaurantes,Primera/3 tenedores,Calle de Zapatería 53,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8165519, -1.6452941)"
ur000451,Payvi-2,Restaurantes,Sin definir,"Av. de Pío XII, 30 trasera 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8071263, -1.6612861)"
uc000097,Peruggia,Cafeterías,Segunda/1 Taza,Torralba del Río 1,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8240027, -1.6310161)"
ur000500,Pizzeria La Bocatta,Restaurantes,Sin definir,Bayona 3,PAMPLONA,Cuenca de Pamplona,Internacional,"(29.9573278, -90.0680667)"
ur000498,Pizzeria Monza,Restaurantes,Sin definir,Malón de Chaide 11,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8087769, -1.6667841)"
uc000056,Planeta-1,Cafeterías,Segunda/1 Taza,"Sancho Ramírez, 11-13 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8075325, -1.6644136)"
uc000143,Principe,Cafeterías,Segunda/1 Taza,Tajonar 12,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8050866, -1.6353633)"
ur000739,Quinto Real,Restaurantes,Sin definir,Villava 14,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8301994, -1.6099749)"
UR001026,Qwerty,Restaurantes,Segunda/2 Tenedores,Calle Mercaderes 18,PAMPLONA,Cuenca de Pamplona,De autor,"(42.8186659, -1.6426578)"
uc000139,Rey Sancho,Cafeterías,Segunda/1 Taza,"Sancho el Fuerte, 14-16 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8088476, -1.6520513)"
UR000278,Richard,Restaurantes,Segunda/2 Tenedores,Yerri 10,ESTELLA,Zona Media,Casera o regional,"(42.6748878, -2.0352534)"
UR111018,Rickys Pizza,Restaurantes,Sin definir,Fco. Javier Saenz de Oiza 108,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.82782640000001, -1.6603293)"
UC000181,Río,Cafeterías,Segunda/1 Taza,Calle San Nicolás 15 17,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8163621, -1.6444106)"
UR000363,Rochas,Restaurantes,Sin definir,Plaza Principe de Viana 16,ESTELLA,Zona Media,Casera o regional,"(42.8129225, -1.6432369)"
ur000216,Rodero,Restaurantes,Sin definir,Calle Emilio Arrieta 3,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8158115, -1.6372965)"
UR001003,Roncesvalles,Restaurantes,Sin definir,Roncesvalles 2,PAMPLONA,Cuenca de Pamplona,Internacional,"(43.0169504, -1.3035514)"
uc000062,Rumbos,Cafeterías,Segunda/1 Taza,Pio XII 34,PAMPLONA,Cuenca de Pamplona,No definida,"(40.4668743, -3.6742675)"
uc000086,Rumbos,Cafeterías,Segunda/1 Taza,Av. de Carlos III el Noble Etorbidea 34,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8113593, -1.6374873)"
UR000111,San Fermín,Restaurantes,Segunda/2 Tenedores,"Calle San Nicolás, 44-46 0 1º Dcha.",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.816259, -1.644789)"
UR000331,San Ignacio,Restaurantes,Segunda/2 Tenedores,"San Ignacio, 4-2º 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.81524050000001, -1.6432667)"
UR000914,San Nicolás - Cocina Vasca,Restaurantes,Sin definir,Calle San Nicolás 13,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(36.718842, -4.4117289)"
UR000035,Sarasate,Restaurantes,Tercera/1 tenedor,"Calle San Nicolás, 19-21, 1º Izda. 0",PAMPLONA,Cuenca de Pamplona,Vegetariana,"(42.8162483, -1.6444231)"
uc000166,Shamrock,Cafeterías,Segunda/1 Taza,Félix Huarte 3,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8039111, -1.6540873)"
UR000935,Sibaris,Restaurantes,Sin definir,Monte Monjardín 12,PAMPLONA,Cuenca de Pamplona,Innovadora,"(42.808318, -1.6335932)"
UR000084,Sidrería Auzmendi Sagardotegia,Restaurantes,Sin definir,Joaquin Beunza 17 bis,PAMPLONA,Cuenca de Pamplona,Sidrería,"(42.8222131, -1.6521734)"
UR001055,Sidrería Chez Belagua,Restaurantes,Segunda/2 Tenedores,"Calle de la Estafeta, 49/51",PAMPLONA,Cuenca de Pamplona,Sidrería,"(42.8171866, -1.6418701)"
ur000155,Sidrería Pil-Pil,Restaurantes,Segunda/2 Tenedores,Travesía de Acella 3,PAMPLONA,Cuenca de Pamplona,Sidrería,"(42.8063859, -1.6633542)"
uc000065,Slalom,Cafeterías,Segunda/1 Taza,Pintor Crispín 2,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8077649, -1.6560417)"
uc000140,Sorgintze,Cafeterías,Segunda/1 Taza,"Travesía Juan María Guelbenzu, 35-37 ",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8049197, -1.6413437)"
uc000011,Stadium,Cafeterías,Segunda/1 Taza,San Fermín 69,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8097321, -1.6426389)"
UR000920,Stik-Bol,Restaurantes,Tercera/1 tenedor,Iturralde y Suit 9,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8108044, -1.6344602)"
UR000959,Sur,Restaurantes,Sin definir,Marcelo Celayeta 128,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8299369, -1.6429233)"
UR000987,Tabla Tomasa,Restaurantes,Sin definir,Virgen del Puy 4 bajo,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8167915, -1.6599287)"
UR000151,Tallunce,Restaurantes,Segunda/2 Tenedores,Campus Universitario  (Comedor 0,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(40.3430942, -74.65507389999999)"
UR000020,Telepizza,Restaurantes,Sin definir,Sancho el Fuerte 81,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.8114395, -1.6616845)"
UR000040,Telepizza,Restaurantes,Sin definir,Ororbia 6,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8319829, -1.6316402)"
UR000837,Telepizza,Restaurantes,Sin definir,Bergamín 12,PAMPLONA,Cuenca de Pamplona,Rápida,"(40.41036099999999, -3.6382526)"
ur000069,Tío Tapas,Restaurantes,Sin definir,Avda Barañain s/n (Centro come 0,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8064687, -1.6729612)"
uc000108,Tip-top,Cafeterías,Segunda/1 Taza,Av. de Zaragoza 17,PAMPLONA,Cuenca de Pamplona,No definida,"(19.0414398, -98.2062727)"
uc000109,Tip-top,Cafeterías,Segunda/1 Taza,Mº. de Azuelo 1,PAMPLONA,Cuenca de Pamplona,No definida,"(42.6086982, -2.3495943)"
uc000128,Tip-top,Cafeterías,Segunda/1 Taza,"Tajonar, 6 -Ed.1 Fuerte Princi 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.79649209999999, -1.6293898)"
ur000908,Tokio,Restaurantes,Sin definir,Joaquín Maya 15,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8146603, -1.648022)"
UC000014,Tres Reyes,Cafeterías,Primera/2 Tazas,Calle Taconera 0,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8158132, -1.6491451)"
UR001078,Tres Reyes,Restaurantes,Lujo/ 4 Tenedores,Jardines de la Taconera s/n 0,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8169877, -1.6513931)"
ur000496,Txiki Jai,Restaurantes,Sin definir,"Esquiroz, 25 Trasera 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8053627, -1.6503743)"
UR001110,Tximista,Restaurantes,Primera/3 tenedores,Zaldu 15,ESTELLA,Zona Media,No definida,"(42.6786766, -2.0374243)"
ur000134,Urdax,Restaurantes,Sin definir,Mº. de Urdax 45,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(43.2670688, -1.5045256)"
UR000037,Venta de Andrés,Restaurantes,Sin definir,Av. de Aróstegui 2 S/N,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.7945223, -1.6815368)"
uc000163,Via Veneto,Cafeterías,Segunda/1 Taza,Padre Barace 1,PAMPLONA,Cuenca de Pamplona,No definida,"(42.80563679999999, -1.6465839)"
UR080955,Wok,Restaurantes,Sin definir,Puente Miluce 4 bajo,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8059525, -1.6739702)"
UR000206,Yanguas,Restaurantes,Segunda/2 Tenedores,Yanguas y Miranda 21,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8118178, -1.6448005)"
UR001066,Yerri,Restaurantes,Segunda/2 Tenedores,Yerri 35,ESTELLA,Zona Media,Casera o regional,"(42.6768446, -2.0358159)"
UR000859,Yon,Restaurantes,Segunda/2 Tenedores,Polígono Landaben C/D 0 S/N,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.80973059999999, -1.6883555)"
uc000114,Yuste,Cafeterías,Segunda/1 Taza,Serafín Olave 25,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8068473, -1.6525021)"
uc000131,Zapata,Cafeterías,Segunda/1 Taza,Virgen del Puy 11,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8166913, -1.6594456)"
